city,title,category,level,exp_years,year
Cairo,ERP Software Consultant,Software Engneering,Experienced,3,2014
Cairo,Web Developer,Software Engneering,Entry Level,1,2014
Cairo,PHP Joomla Web Developer,Software Engneering,Experienced,1,2014
Any,iOS Developer,Software Engneering,Experienced,4,2014
nasr city,PHP Developer,Software Engneering,Entry Level,1,2014
Cairo,PHP Developer,Software Engneering,Experienced,1,2016
Cairo,PHP Developer,Software Engneering,Entry Level,2,2014
Alexandria,"Senior Software Development Engineer""PHP""",Software Engneering,Manager,3,2014
Alexandria,"Senior  Software Development Engineer ""Java""",Software Engneering,Manager,3,2014
Cairo,Banking Practice Leader ,Software Engneering,Manager,10,2014
Cairo,Business Intelligence Practice Leader,Software Engneering,Manager,10,2014
Cairo,Network Administrator,Software Engneering,Experienced,2,2014
Giza,Developer Programmer ,Software Engneering,Experienced,2,2014
Cairo,Systems Specialist (Hardware),Software Engneering,Experienced,3,2014
Cairo,Junior Android Developer,Software Engneering,Experienced,3,2014
Cairo,JAVA Software Engineer ,Software Engneering,Experienced,4,2014
Giza, Junior PHP Developer for Diva Lab Company 6 of October ,Software Engneering,Experienced,2,2014
Cairo,Enterprise Technical support ,Software Engneering,Entry Level,0,2014
Cairo,App Developer (iOS & Android),Software Engneering,Experienced,3,2014
Cairo,Solutions Developer,Software Engneering,Experienced,1,2014
Giza,IT & Network Engineer,IT Category,Experienced,2,2014
Cairo,UI/UX Developer,Software Engneering,Experienced,2,2014
Hurghada,Web Developer,Software Engneering,Experienced,1,2014
Hurghada,Experienced Desktop Developer,Software Engneering,Experienced,1,2014
Cairo,Java Developer ,Software Engneering,Experienced,3,2014
Cairo,Front End Engineer,Software Engneering,Experienced,5,2014
Mansoura,PHP Developer,Software Engneering,Experienced,2,2014
Cairo,IT Technical Support,IT Category,Experienced,1,2014
Cairo,IT Technical Support,IT Category,Experienced,1,2014
Cairo,PHP Web Developer,Software Engneering,Student,0,2014
Cairo,Junior IOS Developer,Software Engneering,Experienced,3,2014
Cairo,Senior IOS/Android Developer,Software Engneering,Experienced,4,2014
Cairo,Software Engineer (Sharepoint / CRM),Software Engneering,Experienced,2,2014
Cairo,Web Developer - Fresh Graduate,Software Engneering,Entry Level,0,2014
Cairo,.Net Developer,Software Engneering,Entry Level,0,2014
Giza,Dot NET Team Leader ,Software Engneering,Experienced,6,2014
Cairo,PHP Developer,Software Engneering,Experienced,3,2014
Cairo,Java Developer,Software Engneering,Experienced,5,2014
Cairo,Senior Java Developer,Software Engneering,Experienced,8,2014
Alexandria,Java Team Lead,Software Engneering,Experienced,6,2014
Alexandria,Junior Java Enterprise Edition Developer,Software Engneering,Experienced,3,2014
Alexandria,Senior PHP Developer,Software Engneering,Experienced,7,2014
Cairo,Software Tester,Software Engneering,Experienced,1,2014
Cairo,IT Technical Support / System Administrator,IT Category,Experienced,5,2014
Cairo,Junior Web Developer,Software Engneering,Entry Level,0,2014
Egypt,Computer science,Software Engneering,Experienced,1,2014
Cairo,PHP Developer,Software Engneering,Experienced,2,2014
Giza,Web Developer,Software Engneering,Experienced,2,2014
Cairo,Technical Translator (IT),IT Category,Experienced,1,2014
Cairo,IT Retail Management System Head,IT Category,Manager,10,2014
Sharkia,Junior SharePoint Developer,Software Engneering,Entry Level,1,2014
Cairo,PHP Developer,Software Engneering,Entry Level,2,2014
Cairo,Business/Functional Consultant,Software Engneering,Experienced,2,2014
Cairo,Technical Consultant,Software Engneering,Experienced,2,2014
Cairo,Junior Java Developer,Software Engneering,Entry Level,0,2014
Cairo,"Web Designer ""Mobile Apps""",Software Engneering,Experienced,2,2014
Giza,"Mobile Applications Developer ""Android""",Software Engneering,Experienced,2,2014
Cairo,PowerBuilder Developer,Software Engneering,Entry Level,2,2014
Giza,Senior .Net Developer,Software Engneering,Experienced,10,2014
Giza,Senior .Net Developer,Software Engneering,Senior Management,10,2014
Giza,Senior Windows Phone Developer,Software Engneering,Experienced,3,2014
Cairo,PHP Web Developer,Software Engneering,Experienced,3,2014
New Cairo,Programming Engineer ,Software Engneering,Experienced,5,2014
Giza,Senior .Net Developer ,Software Engneering,Experienced,5,2014
Cairo,Web Developer,Software Engneering,Experienced,2,2014
Giza,Web Developer & Chief Technology Officer ,Software Engneering,Experienced,3,2014
New Cairo,.Net Developer,Software Engneering,Experienced,2,2014
New Cairo,iOS Developer ,Software Engneering,Entry Level,1,2014
New Cairo,Mobile Applications Testing Engineer,Software Engneering,Entry Level,1,2014
Cairo,IT Specialist,IT Category,Experienced,3,2014
Cairo,Assistant System Administrator,Software Engneering,Experienced,2,2014
Cairo,Senior Web Developer PHP,Software Engneering,Experienced,7,2014
Cairo,Customer Care Technical specialist,Software Engneering,Entry Level,3,2014
Giza,Senior Oracle Developer,Software Engneering,Experienced,4,2014
Giza,Junior Oracle Developer,Software Engneering,Experienced,2,2014
Giza,Network and System Administrator,Software Engneering,Experienced,5,2014
Cairo,Software Technical Support Engineer,Software Engneering,Experienced,3,2014
Cairo,Software Project Manager,Software Engneering,Experienced,10,2014
New Cairo,IT Help Desk Support & System Administrator,IT Category,Entry Level,3,2014
Cairo,Java Developer,Software Engneering,Entry Level,0,2014
New Cairo,Software Developer,Software Engneering,Experienced,2,2014
Cairo,Software Engineer,Software Engneering,Experienced,2,2014
Cairo,Software Engineer ,Software Engneering,Experienced,2,2014
Cairo,Business Intelligence Engineer  ,Software Engneering,Experienced,5,2014
Cairo,Software Support Specialist ,Software Engneering,Experienced,5,2014
Giza,SEO /Web Developer,Software Engneering,Experienced,3,2014
Cairo,Oracle Middleware Implementer ,Software Engneering,Experienced,3,2014
Cairo,Cross Platform Developer ,Software Engneering,Experienced,2,2014
Cairo,System Engineer,Software Engneering,Entry Level,0,2014
Cairo,Web Search Evaluator  ,Software Engneering,Entry Level,0,2014
Cairo,Software Project Manager ,Software Engneering,Manager,9,2014
Giza,Senior Oracle Web Developer,Software Engneering,Experienced,5,2014
Cairo,Ruby on Rails Web Developer,Software Engneering,Experienced,4,2014
Cairo,Business Analyst,Software Engneering,Entry Level,2,2014
Cairo,Sharepoint Developers,Software Engneering,Entry Level,1,2014
Cairo,Sharepoint UI Developers,Software Engneering,Entry Level,1,2014
cario,SharePoint Technical Lead ,Software Engneering,Experienced,9,2014
cario,SharePoint Technical Lead ,Software Engneering,Experienced,9,2014
Cairo,iOS/ Android Developer,Software Engneering,Experienced,2,2014
Cairo,.Net Development Team Leader,Software Engneering,Experienced,7,2014
Cairo,Java EE Web Application Developer,Software Engneering,Entry Level,2,2014
Cairo,PHP Developer,Software Engneering,Experienced,4,2014
Giza,Senior Sharepoint Developer,Software Engneering,Experienced,5,2014
Giza,Senior Moodle Developer,Software Engneering,Experienced,5,2014
6th of October,"IT Technical Support Specialist ""PHP"" ",IT Category,Entry Level,3,2014
6th of October,PHP Developer/IT Technical Support,IT Category,Entry Level,3,2014
Any,Web Designer ,Software Engneering,Experienced,4,2014
Cairo,UI Developer ,Software Engneering,Experienced,3,2014
Cairo,Web Apps Coder ,Software Engneering,Experienced,2,2014
nasr city,Web Project Manager,Software Engneering,Experienced,5,2014
Cairo,Branches Technical Support Specialist ,Software Engneering,Entry Level,1,2014
Cairo,.Net Developer,Software Engneering,Experienced,2,2014
Cairo,Senior PHP Developer,Software Engneering,Experienced,5,2014
Cairo, Java Developer,Software Engneering,Entry Level,0,2014
Cairo,iOS Developer,Software Engneering,Experienced,5,2014
Cairo,Web Developer,Software Engneering,Experienced,5,2014
Cairo,Senior Mobile Developer,Software Engneering,Experienced,3,2014
Cairo,Software Tester,Software Engneering,Entry Level,3,2014
Giza, Web Designer ,Software Engneering,Experienced,2,2014
Cairo,Senior Software Developer ,Software Engneering,Experienced,2,2014
Cairo,PHP Web Developer,Software Engneering,Experienced,2,2014
Mansoura,"ASP.NET Developer (C#.NET, SQL, Oracle)",Software Engneering,Experienced,5,2014
Cairo,IT Technical Support,IT Category,Entry Level,0,2014
Giza,Software Developer ( Java ),Software Engneering,Experienced,0,2014
Ismailia,"IT Specialist  ""Ismailia""",IT Category,Experienced,1,2014
Cairo,PHP Developer,Software Engneering,Experienced,3,2014
Cairo,HTML5 Developer,Software Engneering,Experienced,3,2014
Cairo,.Net MVC Developer,Software Engneering,Experienced,1,2014
