title,exp_years,city,level,category,year
IT Help Desk Agent,2,Heliopolis,Experienced,IT Category,2021
Senior Full Stack Web Developer,4,New Cairo,Experienced,Software Engneering,2021
C++ Software Engineer,1,Dokki,Entry Level,Software Engneering,2021
Senior Software Engineer - C++,2,Maadi,Experienced,Software Engneering,2021
Senior Wordpress Developer,3,Cairo,Experienced,Software Engneering,2021
IT Help Desk Engineer - Nile Badrawi Hospital,2,Maadi,Experienced,IT Category,2021
IT Help Desk Specialist,3,Nasr City,Experienced,IT Category,2021
Telesales Agent (IT Services),2,6th Of October,Experienced,IT Category,2021
IT Help Desk Engineer,2,Heliopolis,Experienced,IT Category,2021
IT Lead,6,Cairo,Experienced,IT Category,2021
Software Tester - QA,1,Zamalek,Entry Level,Software Engneering,2021
Senior IT Infrastructure Engineer,2,Sheikh Zayed,Experienced,IT Category,2021
Senior Software Engineer (Ruby On Rails),5,Cairo,Experienced,Software Engneering,2021
IT System Administrator,3,Zamalek,Experienced,IT Category,2021
QA Software Tester - Automated Testing,4,Cairo,Experienced,Software Engneering,2021
Software Sales Executive,1,Haram,Entry Level,Software Engneering,2021
IT Network Specialist,2,6th Of October,Experienced,IT Category,2021
Software Tester / Quality Control Engineer -...,1,Mansoura,Entry Level,Software Engneering,2021
IT Help Desk Specialist,0,Sheraton,Entry Level,IT Category,2021
IT Engineer,3,Abbassia,Experienced,IT Category,2021
IT Help Desk Agent,1,6th Of October,Entry Level,IT Category,2021
IT Help Desk,2,New Nozha,Experienced,IT Category,2021
IT Engineer,2,New Cairo,Experienced,IT Category,2021
IT Manager,8,Maadi,Manager,IT Category,2021
Software Tester,3,Sheraton,Experienced,Software Engneering,2021
Junior Quality Control Engineer - Software Testing,1,Dokki,Entry Level,Software Engneering,2021
IT Specialist,3,Mohandessin,Experienced,IT Category,2021
Software Integration Engineer,2,Nasr City,Experienced,Software Engneering,2021
iOS Developer- Damietta,2,New Damietta,Experienced,Software Engneering,2021
IT Help Desk Specialist,1,Zamalek,Entry Level,IT Category,2021
IT Techn Support Specialist,1,Alsalihiyyah Aljadidah,Entry Level,IT Category,2021
IT Help Desk,5,Giza,Experienced,IT Category,2021
IT Help Desk Specialist - HQ,1,Mohandessin,Entry Level,IT Category,2021
IT Project Engineer,3,Cairo,Experienced,IT Category,2021
IT Support Engineer,1,Maadi,Entry Level,IT Category,2021
Software Project Manager,5,Maadi,Experienced,Software Engneering,2021
Senior Software Integration Engineer,3,Cairo,Experienced,Software Engneering,2021
Software Implementer,2,Nasr City,Experienced,Software Engneering,2021
IT Help Desk Agent,1,Maadi,Entry Level,IT Category,2021
Senior Software Engineer,3,Maadi,Experienced,Software Engneering,2021
IT Help Desk Specialist,1,New Cairo,Entry Level,IT Category,2021
IT Specialist,1,Heliopolis,Entry Level,IT Category,2021
Sales Account Manager - Software,3,Cairo,Experienced,Software Engneering,2021
IT Specialist,2,6th Of October,Experienced,IT Category,2021
Software Team Leader– PHP,7,New Cairo,Manager,Software Engneering,2021
Software Test Automation Engineer,2,Smart Village,Experienced,Software Engneering,2021
Senior Software Sales Representative,3,Nasr City,Experienced,Software Engneering,2021
Senior Sales Account Manager - Software,5,6th Of October,Experienced,Software Engneering,2021
International Recruitment & Development Advisor,3,Maadi,Experienced,Software Engneering,2021
Senior Software QC Engineer,4,Nasr City,Experienced,Software Engneering,2021
Software Testing Engineer,2,Cairo,Experienced,Software Engneering,2021
Mobile Software Engineer- Android,1,Maadi,Entry Level,Software Engneering,2021
Software Configuration Management Administrator...,5,Smouha,Experienced,Software Engneering,2021
Sales Account Manager (B2B) - Software Solutions,1,New Cairo,Entry Level,Software Engneering,2021
Software Production Team Leader,5,Maadi,Manager,Software Engneering,2021
Embedded System Software -,2,Maadi,Experienced,Software Engneering,2021
Software Engineer - C++,2,Maadi,Experienced,Software Engneering,2021
Senior Software Project Manager - Cairo,3,Maadi,Experienced,Software Engneering,2021
Junior Software Quality Engineer,1,Cairo,Entry Level,Software Engneering,2021
Senior Software Automation Tester,3,Heliopolis,Experienced,Software Engneering,2021
IT Assistant Specialist,0,6th Of October,Entry Level,IT Category,2021
Software Tester - Fresh graduate,1,Bolkly,Entry Level,Software Engneering,2021
IT Help Desk Specialist - Safaga,3,Safaga,Experienced,IT Category,2021
IT Oracle Function Support Engineer,3,Mokattam,Experienced,IT Category,2021
IT Help Desk Specialist,2,Nasr City,Experienced,IT Category,2021
IT Project Manager,5,Riyadh,Manager,IT Category,2021
Junior Software Business Analyst / Product Owner,3,Nasr City,Experienced,Software Engneering,2021
Senior Software Engineer,4,New Cairo,Manager,Software Engneering,2021
Full Stack Software Engineer - Remotely,2,Cairo,Experienced,Software Engneering,2021
Software Sales Specialist,2,Nasr City,Experienced,Software Engneering,2021
Software Delivery Admin,1,Smart Village,Entry Level,Software Engneering,2021
Software Testing Engineer (API & Backend Testing),2,6th Of October,Experienced,Software Engneering,2021
PHP Software Engineer,3,Nasr City,Experienced,Software Engneering,2021
Senior Software Engineer,5,Sheraton,Experienced,Software Engneering,2021
Sr. Software QA Engineer - Full Time 6 Months...,2,Nasr City,Experienced,Software Engneering,2021
Software Engineer - Kuwait,6,Hawally,Experienced,Software Engneering,2021
Senior Software Technical Support Engineer,7,Sheraton,Experienced,Software Engneering,2021
Senior Back-End Developer (PHP),2,Nozha,Experienced,Software Engneering,2021
Senior Backend Software Engineer,3,Sheikh Zayed,Experienced,Software Engneering,2021
Software Engineer - Back End (Remotely),2,Cairo,Experienced,Software Engneering,2021
Software Testing Engineer,2,Maadi,Experienced,Software Engneering,2021
IT Auditor,3,Nasr City,Experienced,IT Category,2021
PHP Software Engineering Lead,4,Nasr City,Manager,Software Engneering,2021
Software Quality Control Tester - Alexandria,1,San Stefano,Entry Level,Software Engneering,2021
Software Sales Manager,5,Nasr City,Manager,Software Engneering,2021
Lead Software Engineer - Python Back End,6,Mohandessin,Manager,Software Engneering,2021
Software Sales Executive,2,Mokattam,Experienced,Software Engneering,2021
Software Project Manager,5,Sheraton,Experienced,Software Engneering,2021
Senior Java Software Engineer,3,Nasr City,Experienced,Software Engneering,2021
Senior PHP Software Engineer,4,Nasr City,Experienced,Software Engneering,2021
IT Operations Department Manager,10,Nasr City,Manager,IT Category,2021
Software Engineer,2,Sheikh Zayed,Experienced,Software Engneering,2021
IT Specialist,5,New Damietta,Experienced,IT Category,2021
Senior Software Tester,5,Maadi,Experienced,Software Engneering,2021
IT Demand Analyst / Engineer,0,Cairo,Entry Level,IT Category,2021
Software Lead Generation Executive,1,Heliopolis,Entry Level,Software Engneering,2021
Senior Software Engineer,3,Cairo,Experienced,Software Engneering,2021
Senior Mobile Application Developer (Flutter),5,Alexandria,Experienced,Software Engneering,2021
IT Manager,10,Heliopolis,Manager,IT Category,2021
IT Specialist,3,Masr Al Qadima,Experienced,IT Category,2021
Ruby On Rails Developer,3,Cairo,Experienced,Software Engneering,2021
Senior Software Testing Engineer,5,Maadi,Experienced,Software Engneering,2021
PHP Software Engineer - Alexandria,1,Alexandria,Entry Level,Software Engneering,2021
Software Marketing Lead,12,Alexandria,Manager,Software Engneering,2021
Senior Software Analyst - Dimetta,5,New Damietta,Experienced,Software Engneering,2021
Data Center Administrator - IT Infrastructure,1,Maadi,Entry Level,IT Category,2021
Java Developer,2,6th Of October,Experienced,Software Engneering,2021
SQL Developer,2,New Cairo,Experienced,Software Engneering,2021
Software Engineer,3,Maadi,Experienced,Software Engneering,2021
IT Help Desk Support Specialist - Alexandria,1,Mandara,Entry Level,IT Category,2021
IT Help Desk Support Specialist,1,Maadi,Entry Level,IT Category,2021
Software Engineer,1,New Cairo,Entry Level,Software Engneering,2021
IT Help Desk Specialist,0,New Cairo,Entry Level,IT Category,2021
IT Specialist,1,Cairo,Entry Level,IT Category,2021
Oracle Developer,2,Dokki,Experienced,Software Engneering,2021
Software Tester,2,Maadi,Experienced,Software Engneering,2021
IT Specialist,4,6th Of October,Experienced,IT Category,2021
Software Engineer,1,Maadi,Entry Level,Software Engneering,2021
Software Engineer,1,Maadi,Entry Level,Software Engneering,2021
Sales Account Manager- Construction Software,5,6th Of October,Experienced,Software Engneering,2021
Junior Software Testing Engineer,0,Maadi,Entry Level,Software Engneering,2021
Software Engineer-Internship,22,Cairo,Manager,Software Engneering,2021
Backend Developer PHP Symfony - GoLodger.com,2,Nasr City,Experienced,Software Engneering,2021
Full Stack & React Native Developer,3,Cairo,Experienced,Software Engneering,2021
Laravel Software Engineer -Alexandria,1,Alexandria,Entry Level,Software Engneering,2021
Senior Software Engineer,2,Cairo,Experienced,Software Engneering,2021
Senior Software Quality Assurance Engineer,5,6th Of October,Experienced,Software Engneering,2021
Software Tester,2,Haram,Entry Level,Software Engneering,2021
HR Specialist / IT Recruiter,3,Sheikh Zayed,Experienced,IT Category,2021
Software Test & Verification Engineer,2,Cairo,Experienced,Software Engneering,2021
IT Project & Budgeting Support Specialist,3,Cairo,Experienced,IT Category,2021
Software Tester,2,Dokki,Experienced,Software Engneering,2021
Senior Software Engineer - Full Stack,3,Sheraton,Experienced,Software Engneering,2021
Associate Software Engineer,0,Maadi,Entry Level,Software Engneering,2021
Software Architect Manager,10,6th Of October,Manager,Software Engneering,2021
Fresh / Experienced Accountant -(Multinational)...,1,Cairo,Entry Level,Software Engneering,2021
Senior Software QC Engineer,4,Maadi,Experienced,Software Engneering,2021
Technical Software Project Manager,5,Cairo,Experienced,Software Engneering,2021
Senior Java Developer,5,Giza,Experienced,Software Engneering,2021
Senior IT Support Specialist,2,Cairo,Experienced,IT Category,2021
Software Project Manager,9,Maadi,Manager,Software Engneering,2021
IT Demand Engineer Trainee,0,Cairo,Entry Level,IT Category,2021
Outdoor Sales Agent For IT Services,1,6th Of October,Entry Level,IT Category,2021
Software Sales Executive,1,New Cairo,Entry Level,Software Engneering,2021
IT System Administrator (Outsource),3,Cairo,Experienced,IT Category,2021
Global IT Infrastructure Service Delivery Manager,7,Cairo,Manager,IT Category,2021
Healthcare Software Implementer / HIS...,2,Heliopolis,Experienced,Software Engneering,2021
Software Tester,1,Giza,Entry Level,Software Engneering,2021
Mobile Developer (Flutter Developer),2,6th Of October,Experienced,Software Engneering,2021
NodeJS Software Engineer - Jumia Pay,2,Cairo,Experienced,Software Engneering,2021
PHP Developer,2,Maadi,Experienced,Software Engneering,2021
Software Tester,1,Mohandessin,Entry Level,Software Engneering,2021
Software Project Manager,3,Nasr City,Experienced,Software Engneering,2021
Software Quality Control Engineer,2,Sheraton,Experienced,Software Engneering,2021
Senior Software Engineer,5,Maadi,Experienced,Software Engneering,2021
Associate Software Engineer,2,Maadi,Experienced,Software Engneering,2021
Go Software Engineer - Jumia Pay,2,Cairo,Experienced,Software Engneering,2021
Software Testing Team Lead,4,Maadi,Manager,Software Engneering,2021
IT Internship - Alexandria,0,Alexandria,Entry Level,IT Category,2021
Backend Developer,2,New Cairo,Experienced,Software Engneering,2021
Software Architect / DevOps Expert,7,Nasr City,Experienced,Software Engneering,2021
Mean Stack Software Engineer,1,Dokki,Entry Level,Software Engneering,2021
IT Specialist,3,Cairo,Experienced,IT Category,2021
Senior Software Quality Assurance Specialist,5,Nasr City,Experienced,Software Engneering,2021
IT Project Manager,8,New Nozha,Manager,IT Category,2021
Software Project Manager,3,New Cairo,Experienced,Software Engneering,2021
Software Project Manager,5,6th Of October,Experienced,Software Engneering,2021
Senior Quality Assurance Specialist - Software,4,Nasr City,Experienced,Software Engneering,2021
Senior Software Quality Control Tester -...,3,San Stefano,Experienced,Software Engneering,2021
Back End Developer- Laravel,3,New Cairo,Experienced,Software Engneering,2021
Java Full Stack Developer,4,Nasr City,Experienced,Software Engneering,2021
Software Sales Representative,3,Giza,Experienced,Software Engneering,2021
Software Team Lead,8,Heliopolis,Manager,Software Engneering,2021
IT Network & Systems Infrastructure Supervisor,3,Giza,Manager,IT Category,2021
Senior Software Tester - Quality Assurance,2,Nasr City,Experienced,Software Engneering,2021
Senior Software QA Engineer - Web & Desktop,5,New Cairo,Experienced,Software Engneering,2021
Senior Software Engineer In Test,3,Cairo,Experienced,Software Engneering,2021
Senior Full Stack .Net Developer,3,Sheikh Zayed,Experienced,Software Engneering,2021
Senior Backend Developer,5,Dokki,Experienced,Software Engneering,2021
Senior Java Backend Developer,4,Maadi,Experienced,Software Engneering,2021
Software Quality Control Engineer - Part Time,2,Bolkly,Experienced,Software Engneering,2021
