title,company_name,location,exp_years,city,level,time,category,year
Odoo Developer,MidEast Communication Systems,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior (SQA) Software Quality Assurance Engineer,NAOS Marketing,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior PHP Developer - (Laravel),Tocaan,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Developer,IT Cores,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2020
React Native Mobile Developer,Paynas,"Zamalek, Cairo",2,Zamalek,Entry Level,Full Time,Software Engneering,2020
Senior IT Specialist,Unknown,"Maadi, Cairo",3,Maadi,Experienced,Full Time,IT Category,2020
Senior .Net Developer,Teqneyat,"Mohandessin, Giza",6,Mohandessin,Experienced,Full Time,Software Engneering,2020
Senior Java Developer,Nejmo,"Maadi, Cairo",4,Maadi,Experienced,Full Time,Software Engneering,2020
SharePoint Developer,DBS,"New Cairo, Cairo",4,New Cairo,Experienced,Full Time,Software Engneering,2020
Senior .NET Developer - Cairo,DMS,"Heliopolis, Cairo",2,Heliopolis,Experienced,Full Time,Software Engneering,2020
Sales Specialist (Software),Weblic,"Sidi Gaber, Alexandria",2,Sidi Gaber,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Java Developer (AWS),Flairstech,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2020
Senior Java Developer,DMS,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2020
iOS Mobile Developer,Yis Web,"Sheikh Zayed, Giza",3,Sheikh Zayed,Experienced,Full Time,Software Engneering,2020
Sales Specialist (Software),Weblic,"Sidi Gaber, Alexandria",2,Sidi Gaber,Experienced,Full Time,Software Engneering,2020
Sales Specialist - Software,Unknown,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
