title,company_name,exp_years,location,city,level,time,category,year
Technical Sales Lead/Account Manager (Web +...,GULFCYBERTECH,5,"Muscat, Oman",Muscat,Manager,Full Time,Software Engneering,2020
Senior UI/UX Designer,Youxel,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior Quality Assurance Engineer - (Web...,700 apps,6,"Giza, Egypt",Giza,Experienced,Full Time,Software Engneering,2020
UI UX Designer,apps square,1,"Tanta, Gharbia",Tanta,Entry Level,Full Time,Software Engneering,2020
Graphic Design instructor (STEAM),iSchool,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Magneto Site Administrator,Blink,3,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
Graphic Designer - Cairo,Masar Engineering Consulting,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior Security Specialist,700 apps,8,"Mohandessin, Giza",Mohandessin,Experienced,Full Time,Software Engneering,2020
Sales Executive,Awdia Technology,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Senior System Analyst - KSA,SURE International Technology,8,"Riyadh, Saudi Arabia",Riyadh,Experienced,Full Time,Software Engneering,2020
Business Analyst / Product Owner,RMG,5,"Riyadh, Saudi Arabia",Riyadh,Experienced,Full Time And Part Time,Software Engneering,2020
Senior 2D Motion Graphic Animator,BrandMark - Marketing Solutions,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
UI/UX Designer (Web And Mobile),Aphrie,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Sales Executive - Media Production,Infinity,2,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
HR Manager - Giza,Sun Lighting Company,8,"6th Of October, Giza",6th Of October,Manager,Full Time,Software Engneering,2020
Business Analyst - Saudi Arabia,Leader,4,"Riyadh, Saudi Arabia",Riyadh,Experienced,Full Time,Software Engneering,2020
Video Editor - Remotely - Unpaid Internship,Eagle Air,0,"Dokki, Giza",Dokki,Entry Level,Internship,Software Engneering,2020
