job_title✫company_names✫company_locations✫job_description
Senior ADF Software Developer✫Confidential✫- New Cairo, Cairo✫Full Time · Experienced · 4+ Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · Oracle · Engineering · ADF · English · IT/Software Development - July 5, 2021
Senior Software Quality Control Engineer✫Bnsights✫- New Cairo, Cairo✫Full Time · Experienced · 3-6 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - July 7, 2021
Senior Software Engineer C++✫TrustSec✫- Nasr City, Cairo✫Full Time · Experienced · 2-5 Yrs of Exp · C++ · Computer Science · Information Technology (IT) · Software Development · Software Engineering · English · Programming · Troubleshooting · Linux - July 15, 2021
Software Developer✫AK IT Consulting✫- Nasr City, Cairo✫Full Time · Experienced · 5-10 Yrs of Exp · HTML · CSS · Coding · Computer Science · Software Development · javaScript · Information Technology (IT) · SAP · Oracle · NetSuite · SalesForce - June 12, 2021
Senior Software Developer✫FRIDAL✫- 6th Of October, Giza✫Full Time · Experienced · 5-7 Yrs of Exp · Information Technology (IT) · .NET · ASP.NET · Computer Science · Computer Engineering · Software Development · C# · MVC · HTML · Angular · OOP - June 28, 2021
Software Engineer - Java Developer✫Sumerge✫- Cairo, Egypt✫Full Time · Experienced · 2-5 Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Software · Java · Engineering · Computer · Science - June 22, 2021
Software Developer-Iamproperty Team (UK) -...✫Procrew✫- Alexandria, Egypt✫Full Time · Work From Home · Experienced · 3+ Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · Git · HTML · CSS · javaScript · Design · PHP · MySQL · Front-End - June 29, 2021
Senior Software Developer✫Brmaja✫- New Cairo, Cairo✫Full Time · Experienced · 3-5 Yrs of Exp · Software Development · SQL · MVC · .NET · C# · .NET Core · Computer Science · Information Technology (IT) · javaScript · Software · Computer Engineering - July 8, 2021
Software Developer✫Ahram Security Group✫- 10th Of Ramadan City, Sharqia✫Internship · Student · C# · Software Development · Computer Science · Information Technology (IT) · English · javaScript · Telecom Engineering · IT/Software Development - June 14, 2021
IT Manager (Head Of IT) - (World Class...✫Pillars✫- Cairo, Egypt✫Full Time · Manager · 10-20 Yrs of Exp · Information Technology (IT) · Computer Science · IT · Microsoft Dynamics · English · IT/Software Development · Project/Program Management - July 30, 2021
